PRECINCT NAME,State Senator 40th Senatorial District,State Senator 40th Senatorial District,State Senator 40th Senatorial District,State Senator 40th Senatorial District,State Senator 40th Senatorial District,State Senator 40th Senatorial District,                                                                                                          
,DEM,REP,WOR,,,,                                                                                                                                                                    
,Peter B. Harckham,Gina M. Arena,Peter B. Harckham,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                                                     
Stony Point 1,124,225,6,0,0,34,
Stony Point 2,210,295,11,0,0,31,
Stony Point 3,107,259,9,0,0,31,
Stony Point 4,171,390,11,0,0,16,
Stony Point 5,101,189,7,0,0,19,
Stony Point 6,133,279,14,0,0,33,
Stony Point 7,166,342,13,0,0,38,
Stony Point 8,149,362,10,0,0,29,
Stony Point 9,116,205,8,0,0,11,
Stony Point 10,95,215,11,0,1,23,
Stony Point 11,131,256,5,0,0,22,
Stony Point 12,142,302,13,1,0,35,
Stony Point 13,138,256,8,0,0,12,
Stony Point 14,73,188,10,0,0,11,
COUNTY TOTALS,1856,3763,136,1,1,345,
